number_of_open_complaints,number_of_policies,customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,total_claim_amount
0,1,2763.519279,56274.0,69.0,32.0,5.0,384.811147
0,8,6979.535903,0.0,94.0,13.0,42.0,1131.464935
0,2,12887.43165,48767.0,108.0,18.0,38.0,566.472247
0,7,7645.861827,0.0,106.0,18.0,65.0,529.881344
0,1,2813.692575,43836.0,73.0,12.0,44.0,138.130879
0,2,8256.2978,62902.0,69.0,14.0,94.0,159.383042
0,9,5380.898636,55350.0,67.0,0.0,13.0,321.6
0,4,7216.100311,0.0,101.0,0.0,68.0,363.02968
0,2,24127.50402,14072.0,71.0,13.0,3.0,511.2
0,8,7388.178085,28812.0,93.0,17.0,7.0,425.527834
0,3,4738.992022,0.0,67.0,23.0,5.0,482.4
0,3,8197.197078,0.0,110.0,27.0,87.0,528.0
2,3,8798.797003,77026.0,110.0,9.0,82.0,472.029737
1,8,8819.018934,99845.0,110.0,23.0,25.0,528.0
2,8,5384.431665,83689.0,70.0,21.0,10.0,307.139132
1,2,7463.139377,24599.0,64.0,12.0,50.0,42.920271
0,1,2566.867823,25049.0,67.0,14.0,7.0,454.245098
0,1,3945.241604,28855.0,101.0,12.0,59.0,647.442031
0,7,5710.333115,51148.0,72.0,9.0,1.0,308.981664
0,3,8162.617053,66140.0,101.0,11.0,21.0,484.8
0,1,2872.051273,57749.0,74.0,31.0,21.0,355.2
0,1,3041.791561,13789.0,79.0,8.0,49.0,379.2
0,2,24127.50402,14072.0,71.0,13.0,3.0,511.2
3,1,2450.190996,0.0,73.0,4.0,44.0,554.376763
0,1,2392.10789,17870.0,61.0,30.0,91.0,439.2
0,3,5802.065978,97541.0,72.0,22.0,1.0,389.185006
0,1,3946.372085,0.0,111.0,15.0,47.0,799.2
0,1,5346.916576,10511.0,139.0,33.0,64.0,516.237951
2,2,12902.56014,86584.0,111.0,33.0,54.0,532.8
1,1,3235.360468,75690.0,80.0,17.0,44.0,384.0
1,1,2454.58354,23158.0,63.0,4.0,6.0,322.294043
0,3,4715.321344,0.0,65.0,19.0,56.0,308.15089
0,6,5018.885233,54500.0,63.0,28.0,17.0,302.4
0,8,4932.916345,37260.0,62.0,19.0,42.0,15.437681
0,6,5744.229745,68987.0,71.0,11.0,40.0,204.475147
0,2,13891.73567,42305.0,117.0,10.0,62.0,561.6
0,8,7380.976717,65706.0,91.0,19.0,86.0,436.8
0,1,3090.034104,0.0,90.0,7.0,79.0,648.0
2,1,2521.633095,53243.0,66.0,4.0,15.0,157.397849
1,1,2652.061785,0.0,70.0,7.0,1.0,484.318536
0,1,2771.045031,50071.0,71.0,3.0,32.0,18.918935
0,1,3939.00637,60021.0,99.0,12.0,28.0,882.871945
0,2,12231.87968,43244.0,103.0,15.0,16.0,494.4
0,1,2443.665166,92834.0,61.0,15.0,56.0,292.8
3,5,4468.510542,0.0,73.0,7.0,57.0,579.165954
0,4,5514.344018,23218.0,71.0,7.0,10.0,447.79344
0,1,3343.875326,0.0,92.0,11.0,77.0,529.624084
0,1,2294.478927,0.0,62.0,11.0,56.0,313.023175
0,2,36707.42639,24804.0,104.0,1.0,28.0,593.830288
0,2,33473.34946,33190.0,106.0,18.0,95.0,508.8
3,2,7983.431709,36014.0,69.0,4.0,40.0,173.956072
0,3,4854.745666,29834.0,64.0,19.0,44.0,307.2
0,1,4293.997319,16701.0,113.0,20.0,26.0,831.625979
0,3,7164.395543,46623.0,91.0,1.0,53.0,436.8
0,2,7619.5158,64749.0,64.0,24.0,59.0,302.56519
0,1,3958.002823,0.0,101.0,29.0,12.0,484.8
2,1,4499.493252,16969.0,124.0,34.0,47.0,704.768111
0,1,4059.567414,11621.0,108.0,4.0,98.0,518.4
1,3,4458.113369,17622.0,65.0,1.0,36.0,312.0
0,6,8110.333139,11489.0,105.0,4.0,50.0,504.0
0,1,3339.764873,0.0,94.0,20.0,53.0,863.327324
0,2,24261.01777,66525.0,100.0,0.0,86.0,104.331355
0,2,6613.973653,0.0,63.0,21.0,28.0,676.391482
0,1,2930.693543,33663.0,73.0,29.0,71.0,350.4
0,3,8672.194272,22547.0,112.0,7.0,60.0,537.6
0,2,11638.66926,61486.0,97.0,5.0,65.0,465.258644
0,5,6846.150323,0.0,95.0,13.0,20.0,456.0
0,2,11727.77648,29879.0,102.0,17.0,0.0,500.254235
0,2,22643.83478,93011.0,113.0,17.0,12.0,281.451042
0,1,2614.474305,65186.0,65.0,29.0,27.0,5.434505
2,1,2451.752695,26840.0,64.0,1.0,47.0,307.2
1,5,6781.270203,0.0,104.0,30.0,3.0,982.399613
3,9,4974.801539,75644.0,65.0,5.0,68.0,467.803638
0,2,8591.604933,38984.0,73.0,27.0,38.0,350.4
0,6,5592.161392,71811.0,71.0,17.0,48.0,29.03416
0,2,8009.472833,20961.0,67.0,20.0,33.0,321.6
2,2,11318.08982,38923.0,99.0,6.0,83.0,115.728852
0,2,8025.229358,0.0,77.0,20.0,26.0,25.807685
0,8,5780.182197,51066.0,74.0,23.0,0.0,787.993313
0,1,4118.539113,34378.0,102.0,12.0,54.0,489.6
0,1,2523.07015,43072.0,63.0,35.0,15.0,302.4
0,3,6554.216396,25222.0,90.0,28.0,69.0,475.623251
1,2,7703.397294,36765.0,66.0,15.0,32.0,320.849072
5,5,5926.729379,23091.0,96.0,28.0,90.0,460.8
3,1,2683.470677,48269.0,69.0,3.0,79.0,282.151207
0,1,2695.182419,32720.0,67.0,13.0,12.0,321.6
1,4,6047.02516,20396.0,76.0,15.0,60.0,364.8
1,2,13171.01282,21513.0,119.0,21.0,81.0,679.827592
0,2,10656.88195,72540.0,88.0,7.0,3.0,631.743039
0,1,2527.653796,80744.0,63.0,24.0,84.0,11.879037
0,1,2672.095756,52822.0,67.0,23.0,88.0,350.529033
1,9,5313.294035,0.0,77.0,8.0,10.0,863.3947
1,2,20946.19251,69738.0,74.0,2.0,26.0,492.127532
0,9,8375.353929,17780.0,109.0,12.0,18.0,132.588288
0,8,4801.661503,18107.0,62.0,29.0,11.0,297.6
3,9,5745.94334,57740.0,74.0,30.0,87.0,269.905129
0,7,6066.115969,32627.0,76.0,11.0,60.0,380.036697
0,3,8002.308333,0.0,107.0,3.0,65.0,513.6
